LON,LAT,OBS_1995-2014,SSP1-2.6_1995-2014,SSP1-2.6_2021-2040,SSP1-2.6_2041-2060,SSP1-2.6_2081-2100,SSP2-4.5_1995-2014,SSP2-4.5_2021-2040,SSP2-4.5_2041-2060,SSP2-4.5_2081-2100,SSP3-7.0_1995-2014,SSP3-7.0_2021-2040,SSP3-7.0_2041-2060,SSP3-7.0_2081-2100,SSP5-8.5_1995-2014,SSP5-8.5_2021-2040,SSP5-8.5_2041-2060,SSP5-8.5_2081-2100,GWL1.5_1995-2014,GWL1.5,GWL2.0_1995-2014,GWL2.0,GWL3.0_1995-2014,GWL3.0,GWL4.0_1995-2014,GWL4.0
119.55, 23.60, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.55, 23.65,  13.8500,  11.1880,  31.4460,  44.3920,  45.7260,  11.1000,  31.7538,  52.6808,  84.5481,  11.1174,  32.7891,  60.7630, 115.2587,  11.1000,  36.3308,  69.0962, 137.4923,  11.1247,  31.0608,  11.1326,  49.4872,  11.1272,  85.8228,  11.1115, 117.6923,
119.55, 23.70, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.60, 23.25,  13.9500,  11.3940,  31.0820,  43.5720,  44.2660,  11.4173,  31.2769,  51.5365,  82.6519,  11.3957,  32.3587,  59.8913, 114.5413,  11.4173,  35.7654,  67.9731, 136.6481,  11.4124,  30.3376,  11.4320,  48.4145,  11.4404,  84.5921,  11.4788, 117.3731,
119.60, 23.50, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.60, 23.55,  13.8500,  11.6320,  31.8460,  43.9540,  45.0780,  11.5865,  31.7038,  52.2577,  83.6788,  11.5804,  32.8087,  60.4696, 114.3043,  11.5865,  36.1788,  68.3462, 136.1481,  11.6057,  30.9340,  11.6035,  49.1506,  11.6140,  85.2193,  11.6154, 116.6712,
119.60, 23.60,  13.2000,  11.3820,  31.8060,  44.5400,  45.4160,  11.3712,  32.0442,  52.6442,  83.8615,  11.3717,  33.0891,  60.6826, 114.2457,  11.3712,  36.3577,  68.7019, 136.0750,  11.3727,  31.1644,  11.3843,  49.4523,  11.3798,  85.3526,  11.3750, 116.8442,
119.60, 23.65,  14.1000,  11.3860,  31.8420,  44.4760,  45.5140,  11.3577,  31.6673,  52.8442,  84.4096,  11.2957,  32.9283,  60.7261, 114.7783,  11.3577,  36.4327,  69.0538, 136.8173,  11.3526,  31.1010,  11.3517,  49.5895,  11.3500,  85.7614,  11.3462, 117.3538,
119.60, 23.70,  13.4000,  11.5120,  32.5020,  45.4740,  46.7440,  11.4615,  32.6173,  54.0154,  85.3231,  11.4739,  33.8370,  61.7478, 115.4957,  11.4615,  36.9654,  70.1904, 137.3961,  11.4830,  31.6644,  11.4913,  50.7186,  11.5342,  86.7088,  11.5154, 118.0327,
119.60, 23.75,  13.2000,  11.4620,  32.9360,  46.1140,  46.9800,  11.4577,  32.9538,  54.3558,  85.9712,  11.4674,  34.1435,  62.1478, 115.6022,  11.4577,  37.5577,  70.7058, 137.5019,  11.4716,  32.2438,  11.4849,  51.1395,  11.5105,  87.0640,  11.5115, 118.5000,
119.60, 23.80, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.65, 23.25,  14.1000,  11.4080,  30.2400,  42.2620,  42.7460,  11.4558,  30.5269,  49.9981,  81.2577,  11.3457,  31.7848,  58.4717, 113.5522,  11.4558,  34.6288,  66.4308, 136.1269,  11.4113,  29.6928,  11.4308,  47.0924,  11.3833,  83.3421,  11.4000, 116.3692,
119.65, 23.55,  13.7000,  11.3660,  31.6260,  44.1660,  44.7620,  11.3712,  31.5712,  52.1269,  83.2942,  11.3413,  32.8000,  60.0457, 114.2261,  11.3712,  36.0808,  68.3000, 135.7481,  11.3727,  30.7412,  11.3779,  49.0140,  11.3904,  84.8833,  11.3519, 116.3942,
119.65, 23.60,  13.6000,  11.3720,  31.5440,  44.2960,  44.9000,  11.3500,  31.7288,  52.4154,  83.6673,  11.3304,  32.9717,  60.2065, 114.2696,  11.3500,  36.2808,  68.1942, 135.8385,  11.3510,  30.9165,  11.3744,  49.1837,  11.3798,  85.0649,  11.4346, 116.7308,
119.65, 23.65,  13.0000,  11.3200,  31.8840,  44.2940,  45.0560,  11.2788,  31.7635,  52.4385,  83.7962,  11.2891,  32.7609,  60.4870, 114.4304,  11.2788,  36.0577,  68.5846, 136.1808,  11.3052,  30.8747,  11.3081,  49.3046,  11.2982,  85.3096,  11.3442, 117.0192,
119.65, 23.70, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.70, 23.25, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.70, 23.55,  13.7000,  11.4100,  31.4360,  43.7500,  44.3920,  11.3923,  31.6404,  51.7538,  83.0269,  11.4587,  32.5630,  59.9500, 113.7717,  11.3923,  35.8404,  67.9308, 135.6039,  11.4082,  30.6191,  11.4483,  48.7169,  11.4640,  84.5184,  11.4500, 116.0365,
