LON,LAT,OBS_1995-2014,SSP1-2.6_1995-2014,SSP1-2.6_2021-2040,SSP1-2.6_2041-2060,SSP1-2.6_2081-2100,SSP2-4.5_1995-2014,SSP2-4.5_2021-2040,SSP2-4.5_2041-2060,SSP2-4.5_2081-2100,SSP3-7.0_1995-2014,SSP3-7.0_2021-2040,SSP3-7.0_2041-2060,SSP3-7.0_2081-2100,SSP5-8.5_1995-2014,SSP5-8.5_2021-2040,SSP5-8.5_2041-2060,SSP5-8.5_2081-2100,GWL1.5_1995-2014,GWL1.5,GWL2.0_1995-2014,GWL2.0,GWL3.0_1995-2014,GWL3.0,GWL4.0_1995-2014,GWL4.0
119.55, 23.60, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.55, 23.65,  40.6447,  40.4861,  78.7460, 101.5460, 103.9760,  40.4774,  77.5558, 115.5058, 169.7865,  40.4863,  79.7935, 129.4870, 219.7696,  40.4774,  85.8038, 145.3865, 251.9808,  40.4750,  77.0531,  40.4847, 110.9366,  40.5126, 172.5500,  40.5613, 219.1096,
119.55, 23.70, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.60, 23.25,  40.5737,  40.5689,  78.1680,  99.6280, 102.5511,  40.5774,  77.3077, 114.9231, 168.2365,  40.5111,  79.8196, 128.9109, 218.9522,  40.5774,  85.1404, 144.0019, 250.4923,  40.5609,  76.3665,  40.5711, 109.7279,  40.5614, 171.2211,  40.6476, 218.0904,
119.60, 23.50, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.60, 23.55,  40.3842,  40.4905,  78.7420, 101.1420, 103.7395,  40.4732,  77.6019, 115.5904, 169.9288,  40.4584,  79.8913, 129.4848, 219.4761,  40.4732,  86.0942, 144.9000, 251.5885,  40.4649,  76.9366,  40.4847, 110.8273,  40.5177, 172.2456,  40.6263, 219.2192,
119.60, 23.60,  40.2368,  40.4966,  78.4600, 100.8220, 103.7695,  40.4849,  77.4558, 115.1019, 169.3846,  40.4840,  79.5087, 128.9783, 219.3435,  40.4849,  85.4173, 145.0673, 251.1115,  40.4860,  76.6603,  40.5049, 110.3965,  40.5404, 171.9158,  40.6729, 218.3981,
119.60, 23.65,  40.6079,  40.4095,  78.3620, 101.1880, 103.8056,  40.3877,  77.5212, 115.5558, 169.7365,  40.4113,  79.7283, 129.4957, 219.3935,  40.3877,  85.6192, 145.2327, 251.5769,  40.4022,  76.8067,  40.4202, 110.7349,  40.4594, 172.1325,  40.5904, 218.9077,
119.60, 23.70,  40.5395,  40.4814,  78.3660, 101.0000, 103.5311,  40.4738,  77.4154, 115.3154, 169.3615,  40.4912,  79.5000, 129.2043, 219.0130,  40.4738,  85.4827, 145.0558, 251.2154,  40.4708,  76.6588,  40.4834, 110.6622,  40.5042, 171.9895,  40.5501, 218.6500,
119.60, 23.75,  40.6921,  40.5491,  78.5020, 100.8900, 103.6673,  40.5501,  77.1115, 114.8942, 168.6654,  40.5175,  79.5022, 128.6609, 218.5804,  40.5501,  85.3019, 144.8327, 250.7442,  40.5428,  76.6943,  40.5640, 110.4128,  40.5826, 171.3281,  40.6922, 217.8865,
