LON,LAT,OBS_1995-2014,SSP1-2.6_1995-2014,SSP1-2.6_2021-2040,SSP1-2.6_2041-2060,SSP1-2.6_2081-2100,SSP2-4.5_1995-2014,SSP2-4.5_2021-2040,SSP2-4.5_2041-2060,SSP2-4.5_2081-2100,SSP3-7.0_1995-2014,SSP3-7.0_2021-2040,SSP3-7.0_2041-2060,SSP3-7.0_2081-2100,SSP5-8.5_1995-2014,SSP5-8.5_2021-2040,SSP5-8.5_2041-2060,SSP5-8.5_2081-2100,GWL1.5_1995-2014,GWL1.5,GWL2.0_1995-2014,GWL2.0,GWL3.0_1995-2014,GWL3.0,GWL4.0_1995-2014,GWL4.0
119.55, 23.60, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.55, 23.65,   5.1500,   5.9482,   6.3821,   6.4393,   6.7518,   5.8828,   6.5190,   6.3017,   6.4172,   5.9833,   6.5463,   6.4796,   6.8870,   5.8828,   6.3741,   6.7000,   7.2293,   5.9291,   6.3391,   5.9343,   6.5000,   5.9606,   6.6470,   5.9468,   7.1661,
119.55, 23.70, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.60, 23.25,   6.2000,   6.9571,   7.2054,   7.3482,   7.7179,   6.8586,   7.2724,   7.1034,   7.3121,   6.9981,   7.3130,   7.2630,   7.8259,   6.8586,   7.0466,   7.5190,   8.0966,   6.9150,   7.1323,   6.9121,   7.2874,   6.9205,   7.4114,   6.8097,   8.0597,
119.60, 23.50, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.60, 23.55,   5.1500,   6.2429,   6.6571,   6.6696,   7.0964,   6.1776,   6.7207,   6.5828,   6.6845,   6.2630,   6.7815,   6.7981,   7.1963,   6.1776,   6.5776,   6.9483,   7.4845,   6.2182,   6.5964,   6.2177,   6.7515,   6.2409,   6.9538,   6.1919,   7.3742,
119.60, 23.60,   5.1500,   6.1393,   6.5196,   6.5643,   6.9071,   6.0724,   6.6190,   6.4190,   6.5931,   6.1741,   6.6944,   6.6556,   7.0667,   6.0724,   6.4983,   6.8362,   7.3621,   6.1164,   6.4827,   6.1242,   6.6444,   6.1477,   6.8076,   6.1242,   7.3016,
119.60, 23.65,   5.2500,   5.9768,   6.4339,   6.4821,   6.8071,   5.9103,   6.5345,   6.3121,   6.4897,   6.0204,   6.5667,   6.5333,   6.9444,   5.9103,   6.4138,   6.7224,   7.2500,   5.9591,   6.3814,   5.9687,   6.5354,   5.9977,   6.6939,   6.0032,   7.1952,
119.60, 23.70,   5.3000,   5.9018,   6.4196,   6.4054,   6.7250,   5.8293,   6.4828,   6.2603,   6.4379,   5.9389,   6.5037,   6.4870,   6.8630,   5.8293,   6.3741,   6.7103,   7.1500,   5.8800,   6.3177,   5.8838,   6.4843,   5.9068,   6.6348,   5.8968,   7.1597,
119.60, 23.75,   5.3000,   5.8518,   6.3679,   6.3214,   6.6589,   5.7828,   6.4931,   6.2310,   6.3914,   5.8944,   6.4111,   6.4611,   6.7963,   5.7828,   6.2862,   6.6034,   7.0897,   5.8327,   6.2636,   5.8394,   6.3909,   5.8697,   6.6015,   5.8726,   7.1129,
119.60, 23.80, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.65, 23.25,   6.0500,   7.6286,   7.8214,   8.0375,   8.4643,   7.5414,   7.8431,   7.7362,   7.9052,   7.6852,   8.0241,   7.8556,   8.4426,   7.5414,   7.6293,   8.1362,   8.7603,   7.5886,   7.7650,   7.6015,   7.9369,   7.6076,   8.0341,   7.5339,   8.6823,
