LON,LAT,OBS_1995-2014,SSP1-2.6_1995-2014,SSP1-2.6_2021-2040,SSP1-2.6_2041-2060,SSP1-2.6_2081-2100,SSP2-4.5_1995-2014,SSP2-4.5_2021-2040,SSP2-4.5_2041-2060,SSP2-4.5_2081-2100,SSP3-7.0_1995-2014,SSP3-7.0_2021-2040,SSP3-7.0_2041-2060,SSP3-7.0_2081-2100,SSP5-8.5_1995-2014,SSP5-8.5_2021-2040,SSP5-8.5_2041-2060,SSP5-8.5_2081-2100,GWL1.5_1995-2014,GWL1.5,GWL2.0_1995-2014,GWL2.0,GWL3.0_1995-2014,GWL3.0,GWL4.0_1995-2014,GWL4.0
119.55, 23.60, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.55, 23.65,  18.2666,  16.9289,  17.0942,  17.8388,  17.8955,  16.9537,  18.0546,  18.0061,  18.3145,  17.0024,  17.7834,  17.6428,  19.6599,  16.9537,  17.4280,  17.8569,  21.2073,  16.9633,  17.4880,  16.9845,  17.5830,  17.0188,  18.2723,  17.1546,  20.0610,
119.55, 23.70, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.60, 23.25,  19.5535,  17.9823,  18.2580,  18.8588,  19.0886,  17.9990,  18.9344,  19.1500,  19.5269,  18.0357,  18.8607,  18.8050,  20.9514,  17.9990,  18.5358,  19.2911,  22.5826,  18.0073,  18.5637,  18.0331,  18.6717,  18.0421,  19.4611,  18.1795,  21.5093,
119.60, 23.50, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.60, 23.55,  18.4465,  16.9827,  17.2571,  17.9717,  18.0597,  17.0011,  18.1495,  18.1028,  18.4733,  17.0567,  17.8995,  17.7652,  19.9448,  17.0011,  17.5531,  18.0670,  21.5183,  17.0125,  17.6107,  17.0341,  17.7234,  17.0601,  18.4258,  17.2021,  20.3200,
119.60, 23.60,  18.1268,  16.8606,  17.0639,  17.8036,  17.8846,  16.8815,  17.9993,  17.9177,  18.3002,  16.9357,  17.7408,  17.6321,  19.7421,  16.8815,  17.4383,  17.8468,  21.3060,  16.8935,  17.4649,  16.9145,  17.5526,  16.9387,  18.2484,  17.0746,  20.0565,
119.60, 23.65,  17.8679,  16.7235,  16.9589,  17.6876,  17.7232,  16.7421,  17.9225,  17.8088,  18.1869,  16.7894,  17.6370,  17.4958,  19.5612,  16.7421,  17.3178,  17.6840,  21.0928,  16.7549,  17.3476,  16.7744,  17.4211,  16.7902,  18.1148,  16.9143,  19.9315,
119.60, 23.70,  18.0237,  16.8602,  16.9906,  17.7545,  17.7968,  16.8768,  17.9531,  17.9068,  18.2436,  16.9297,  17.6641,  17.5976,  19.6088,  16.8768,  17.3710,  17.7536,  21.1533,  16.8916,  17.3867,  16.9093,  17.4761,  16.9359,  18.1863,  17.0583,  20.0322,
119.60, 23.75,  18.1259,  16.8372,  17.0000,  17.7737,  17.7911,  16.8564,  17.9309,  17.9103,  18.2591,  16.9060,  17.6666,  17.6335,  19.5701,  16.8564,  17.3895,  17.7510,  21.1164,  16.8674,  17.4081,  16.8824,  17.4922,  16.9148,  18.2245,  17.0176,  20.0348,
119.60, 23.80, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.65, 23.25,  19.6922,  18.5002,  18.9237,  19.5066,  19.7269,  18.5151,  19.5391,  19.8107,  20.1628,  18.5480,  19.5784,  19.4100,  21.7852,  18.5151,  19.1893,  19.9643,  23.5254,  18.5265,  19.2046,  18.5502,  19.2882,  18.5479,  20.1716,  18.6712,  22.3944,
119.65, 23.55,  18.6151,  17.1476,  17.3589,  18.0824,  18.1371,  17.1744,  18.1953,  18.1888,  18.5887,  17.2207,  17.9937,  17.8869,  20.0432,  17.1744,  17.6480,  18.2166,  21.6434,  17.1843,  17.6973,  17.2072,  17.7999,  17.2308,  18.5621,  17.3861,  20.4626,
119.65, 23.60,  18.3149,  16.9688,  17.1930,  17.9159,  17.9708,  16.9932,  18.1133,  18.0504,  18.3990,  17.0400,  17.8214,  17.7488,  19.8852,  16.9932,  17.5245,  17.9933,  21.4224,  17.0048,  17.5702,  17.0248,  17.6493,  17.0494,  18.3886,  17.1844,  20.2200,
119.65, 23.65,  17.9288,  16.7804,  16.9738,  17.7028,  17.7652,  16.8014,  17.9242,  17.8460,  18.2379,  16.8535,  17.6377,  17.5550,  19.6175,  16.8014,  17.3606,  17.7565,  21.1809,  16.8157,  17.3711,  16.8335,  17.4343,  16.8598,  18.1841,  16.9842,  19.9904,
