LON,LAT,OBS_1995-2014,SSP1-2.6_1995-2014,SSP1-2.6_2021-2040,SSP1-2.6_2041-2060,SSP1-2.6_2081-2100,SSP2-4.5_1995-2014,SSP2-4.5_2021-2040,SSP2-4.5_2041-2060,SSP2-4.5_2081-2100,SSP3-7.0_1995-2014,SSP3-7.0_2021-2040,SSP3-7.0_2041-2060,SSP3-7.0_2081-2100,SSP5-8.5_1995-2014,SSP5-8.5_2021-2040,SSP5-8.5_2041-2060,SSP5-8.5_2081-2100,GWL1.5_1995-2014,GWL1.5,GWL2.0_1995-2014,GWL2.0,GWL3.0_1995-2014,GWL3.0,GWL4.0_1995-2014,GWL4.0
119.55, 23.60, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.55, 23.65, 133.0819, 105.5030, 115.1039, 124.7161, 122.8121, 106.3597, 123.6313, 120.5733, 125.0211, 105.9525, 117.2254, 114.5483, 139.3269, 106.3597, 118.6142, 121.9297, 155.4086, 106.1210, 116.0879, 106.3024, 118.8419, 106.8082, 123.1870, 108.5978, 140.8321,
119.55, 23.70, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.60, 23.25, 136.6252, 114.0540, 121.1305, 132.4491, 134.1812, 114.6612, 129.0278, 132.1658, 135.5482, 114.7144, 127.0615, 127.1411, 148.9058, 114.6612, 126.4969, 134.7670, 171.0583, 114.6072, 125.5866, 114.8672, 128.9433, 115.4784, 131.8919, 117.6043, 151.3094,
119.60, 23.50, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.60, 23.55, 143.8459, 111.8287, 122.2358, 132.1754, 132.6665, 112.7741, 132.4918, 128.0711, 134.2238, 112.2028, 124.9515, 122.7213, 149.7127, 112.7741, 127.7250, 130.2219, 167.7704, 112.4711, 124.5242, 112.7563, 127.1782, 113.2576, 130.7812, 115.4939, 150.4640,
119.60, 23.60, 141.1564, 109.7333, 120.3850, 130.7449, 129.8621, 110.7501, 130.5195, 125.4650, 131.6790, 110.1111, 122.8809, 120.2174, 147.2073, 110.7501, 125.5614, 127.0219, 165.4577, 110.4158, 122.5036, 110.6872, 124.8502, 111.1978, 128.8328, 113.3747, 147.2666,
119.60, 23.65, 136.5514, 106.1949, 117.4491, 126.3930, 125.0554, 107.1126, 126.1663, 121.3098, 126.8962, 106.5455, 118.7533, 116.2252, 142.3601, 107.1126, 121.5721, 123.6082, 159.4256, 106.8253, 118.3056, 107.0416, 120.9311, 107.5311, 124.9460, 109.4338, 143.1234,
119.60, 23.70, 132.8465, 104.3761, 114.3443, 122.9518, 121.8494, 105.2176, 122.4654, 119.0276, 124.2995, 104.8375, 115.0004, 114.5620, 138.7122, 105.2176, 118.3813, 121.1570, 154.9560, 105.0051, 114.8635, 105.1578, 117.7630, 105.6009, 122.5727, 107.1284, 140.3200,
119.60, 23.75, 131.5149, 103.0395, 113.1279, 122.2844, 120.3843, 103.7869, 120.4255, 118.3390, 122.6954, 103.5325, 114.1744, 113.5663, 136.3352, 103.7869, 116.6911, 119.6591, 153.2306, 103.6269, 113.6368, 103.7718, 116.4938, 104.1918, 122.1053, 105.7802, 139.0227,
