LON,LAT,OBS_1995-2014,SSP1-2.6_1995-2014,SSP1-2.6_2021-2040,SSP1-2.6_2041-2060,SSP1-2.6_2081-2100,SSP2-4.5_1995-2014,SSP2-4.5_2021-2040,SSP2-4.5_2041-2060,SSP2-4.5_2081-2100,SSP3-7.0_1995-2014,SSP3-7.0_2021-2040,SSP3-7.0_2041-2060,SSP3-7.0_2081-2100,SSP5-8.5_1995-2014,SSP5-8.5_2021-2040,SSP5-8.5_2041-2060,SSP5-8.5_2081-2100,GWL1.5_1995-2014,GWL1.5,GWL2.0_1995-2014,GWL2.0,GWL3.0_1995-2014,GWL3.0,GWL4.0_1995-2014,GWL4.0
119.55, 23.60, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.55, 23.65, 765.4283, 704.6385, 738.3387, 778.1879, 822.7089, 709.2756, 758.4542, 794.5765, 811.3706, 706.3947, 759.3410, 731.6158, 843.3583, 709.2756, 739.5511, 793.8897, 959.0634, 707.5953, 739.4692, 708.0270, 752.7994, 708.6422, 793.9042, 707.8072, 918.1036,
119.55, 23.70, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.60, 23.25, 892.4910, 833.8013, 866.0204, 902.8497, 955.7203, 838.6109, 882.6487, 927.7429, 950.4055, 834.6971, 885.9808, 858.5899, 985.2524, 838.6109, 865.0775, 935.5452,1129.3981, 836.7716, 866.4957, 837.1343, 880.9406, 836.6044, 925.3369, 834.2830,1068.4771,
119.60, 23.50, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.60, 23.55, 840.1844, 757.7878, 790.8413, 830.2621, 880.7710, 762.7567, 813.5406, 847.7401, 867.4212, 759.0444, 812.9418, 783.7891, 901.4045, 762.7567, 792.7386, 850.3193,1027.5988, 760.7368, 793.4457, 761.2822, 805.7401, 761.5463, 847.7972, 760.2678, 977.8291,
119.60, 23.60, 813.2996, 737.9110, 771.1098, 811.2420, 857.9514, 742.7781, 793.0887, 826.7019, 844.9516, 739.4119, 792.5099, 764.1803, 879.6807, 742.7781, 772.9766, 827.2760,1003.0970, 740.9378, 773.5439, 741.4518, 785.1308, 741.8455, 827.1849, 740.7924, 954.5312,
119.60, 23.65, 778.5574, 712.7745, 746.9153, 786.2150, 831.7695, 717.3108, 768.7203, 801.3509, 819.2612, 714.1677, 767.2231, 740.6918, 853.3939, 717.3108, 749.1693, 801.3030, 972.3680, 715.6387, 748.7138, 716.0371, 761.0763, 716.4453, 801.4695, 715.4924, 927.4695,
119.60, 23.70, 758.1162, 701.4258, 734.8513, 773.7107, 818.8036, 705.9214, 756.8622, 791.0827, 806.9193, 702.9261, 754.4929, 730.7303, 841.3588, 705.9214, 737.9214, 790.9327, 957.1311, 704.2695, 736.6313, 704.7145, 749.8441, 705.3123, 790.4343, 704.6757, 915.7631,
119.60, 23.75, 749.7476, 694.4393, 728.8912, 768.5111, 811.7729, 698.8702, 749.4119, 784.7030, 800.4537, 696.1159, 748.0206, 724.4119, 833.2103, 698.8702, 732.0521, 784.4768, 949.6248, 697.2707, 730.1254, 697.6061, 743.5353, 698.3472, 784.4122, 697.3191, 907.4002,
