LON,LAT,OBS_1995-2014,SSP1-2.6_1995-2014,SSP1-2.6_2021-2040,SSP1-2.6_2041-2060,SSP1-2.6_2081-2100,SSP2-4.5_1995-2014,SSP2-4.5_2021-2040,SSP2-4.5_2041-2060,SSP2-4.5_2081-2100,SSP3-7.0_1995-2014,SSP3-7.0_2021-2040,SSP3-7.0_2041-2060,SSP3-7.0_2081-2100,SSP5-8.5_1995-2014,SSP5-8.5_2021-2040,SSP5-8.5_2041-2060,SSP5-8.5_2081-2100,GWL1.5_1995-2014,GWL1.5,GWL2.0_1995-2014,GWL2.0,GWL3.0_1995-2014,GWL3.0,GWL4.0_1995-2014,GWL4.0
119.55, 23.60, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.55, 23.65,  71.3500,  69.8089,  71.1625,  71.8750,  70.5911,  69.7741,  71.9448,  70.8500,  71.3086,  70.3963,  71.6037,  74.5000,  73.3278,  69.7741,  69.7845,  71.9638,  75.2431,  69.9386,  71.3623,  70.0359,  71.8879,  70.3303,  73.3856,  70.5710,  72.9306,
119.55, 23.70, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.60, 23.25,  67.5500,  66.8839,  69.1714,  69.7875,  68.3446,  66.6500,  69.8448,  68.4983,  69.2603,  67.2519,  68.0870,  72.3537,  70.7667,  66.6500,  68.2845,  69.9897,  72.9931,  66.8327,  69.0618,  66.8919,  69.3106,  67.0379,  71.2530,  66.8806,  71.7468,
119.60, 23.50, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000, -99.9000,
119.60, 23.55,  68.0500,  67.7768,  69.4054,  69.2304,  68.3482,  67.6069,  69.2155,  68.5897,  68.5965,  68.3685,  69.2667,  71.9537,  71.1500,  67.6069,  67.2897,  69.6948,  72.7207,  67.8564,  69.1518,  67.9369,  69.3172,  68.1765,  71.0962,  68.3597,  71.0113,
119.60, 23.60,  68.0000,  68.1321,  69.2196,  69.6696,  68.6750,  67.9690,  69.5414,  68.7534,  69.0414,  68.6611,  69.9111,  71.7111,  71.5389,  67.9690,  67.6672,  70.0362,  72.7966,  68.1850,  69.4150,  68.2581,  69.6742,  68.4485,  71.3311,  68.4436,  71.1161,
119.60, 23.65,  68.3000,  68.3964,  70.0786,  70.2982,  69.5018,  68.3276,  70.3465,  69.6776,  69.9724,  69.0889,  70.5000,  72.4907,  72.2593,  68.3276,  68.2810,  70.8569,  73.8741,  68.5250,  70.1909,  68.6535,  70.3313,  68.8621,  72.3045,  69.0016,  72.0532,
119.60, 23.70,  71.7000,  70.3679,  71.5125,  72.1304,  70.6464,  70.2448,  71.6535,  71.0500,  71.4483,  70.9315,  71.4574,  74.5593,  73.6926,  70.2448,  69.6793,  72.0000,  75.1466,  70.4541,  71.4845,  70.4737,  71.9313,  70.7136,  73.6629,  70.7500,  73.1919,
119.60, 23.75,  70.6500,  70.8661,  71.8143,  72.5982,  71.2339,  70.6965,  72.2328,  71.4845,  71.9224,  71.3796,  72.1315,  75.0111,  74.5500,  70.6965,  70.5121,  72.4345,  75.9103,  70.9241,  71.9750,  70.8773,  72.4758,  70.9659,  74.4364,  70.8548,  73.6952,
