LON,LAT,rx1day_base,rx1day_change_SSP126_20212040,rx1day_change_SSP126_20412060,rx1day_change_SSP126_20812100,rx1day_change_SSP245_20212040,rx1day_change_SSP245_20412060,rx1day_change_SSP245_20812100,rx1day_change_SSP370_20212040,rx1day_change_SSP370_20412060,rx1day_change_SSP370_20812100,rx1day_change_SSP585_20212040,rx1day_change_SSP585_20412060,rx1day_change_SSP585_20812100,tx90p_change_SSP126_20212040,tx90p_change_SSP126_20412060,tx90p_change_SSP126_20812100,tx90p_change_SSP245_20212040,tx90p_change_SSP245_20412060,tx90p_change_SSP245_20812100,tx90p_change_SSP370_20212040,tx90p_change_SSP370_20412060,tx90p_change_SSP370_20812100,tx90p_change_SSP585_20212040,tx90p_change_SSP585_20412060,tx90p_change_SSP585_20812100,prcptot_change_SSP126_20212040,prcptot_change_SSP126_20412060,prcptot_change_SSP126_20812100,prcptot_change_SSP245_20212040,prcptot_change_SSP245_20412060,prcptot_change_SSP245_20812100,prcptot_change_SSP370_20212040,prcptot_change_SSP370_20412060,prcptot_change_SSP370_20812100,prcptot_change_SSP585_20212040,prcptot_change_SSP585_20412060,prcptot_change_SSP585_20812100,sdii_change_SSP126_20212040,sdii_change_SSP126_20412060,sdii_change_SSP126_20812100,sdii_change_SSP245_20212040,sdii_change_SSP245_20412060,sdii_change_SSP245_20812100,sdii_change_SSP370_20212040,sdii_change_SSP370_20412060,sdii_change_SSP370_20812100,sdii_change_SSP585_20212040,sdii_change_SSP585_20412060,sdii_change_SSP585_20812100,cdd_change_SSP126_20212040,cdd_change_SSP126_20412060,cdd_change_SSP126_20812100,cdd_change_SSP245_20212040,cdd_change_SSP245_20412060,cdd_change_SSP245_20812100,cdd_change_SSP370_20212040,cdd_change_SSP370_20412060,cdd_change_SSP370_20812100,cdd_change_SSP585_20212040,cdd_change_SSP585_20412060,cdd_change_SSP585_20812100,cwd_change_SSP126_20212040,cwd_change_SSP126_20412060,cwd_change_SSP126_20812100,cwd_change_SSP245_20212040,cwd_change_SSP245_20412060,cwd_change_SSP245_20812100,cwd_change_SSP370_20212040,cwd_change_SSP370_20412060,cwd_change_SSP370_20812100,cwd_change_SSP585_20212040,cwd_change_SSP585_20412060,cwd_change_SSP585_20812100,hwdi_change_SSP126_20212040,hwdi_change_SSP126_20412060,hwdi_change_SSP126_20812100,hwdi_change_SSP245_20212040,hwdi_change_SSP245_20412060,hwdi_change_SSP245_20812100,hwdi_change_SSP370_20212040,hwdi_change_SSP370_20412060,hwdi_change_SSP370_20812100,hwdi_change_SSP585_20212040,hwdi_change_SSP585_20412060,hwdi_change_SSP585_20812100
119.45,23.2,88.1242,-10.254000000000005,-3.1482000000000028,-2.7245999999999952,-5.519999999999996,-3.300300000000007,-0.32260000000000844,-5.325900000000004,-7.287599999999998,6.9805999999999955,-7.818700000000007,-1.2618999999999971,19.400800000000004,38.1239,59.4359,62.69219999999999,37.1752,74.72909999999999,128.9983,39.527499999999996,89.5275,179.81879999999998,45.4617,104.62709999999998,210.8541,-9.19909999999993,16.552999999999997,54.006500000000074,1.1394000000000233,32.74829999999997,53.35509999999999,3.5090999999999894,-17.308099999999968,73.71800000000007,-9.366599999999949,41.70450000000005,177.24160000000006,-0.495000000000001,-0.09740000000000038,0.031200000000000117,-0.05690000000000062,0.14619999999999855,0.4794999999999998,0.011199999999998766,-0.21080000000000076,1.4542999999999981,-0.34860000000000113,0.19929999999999914,2.6522999999999985,4.5518,4.107100000000003,2.2767999999999944,4.646500000000003,3.984499999999997,4.070700000000002,3.6055999999999955,7.520399999999995,6.955600000000004,4.513800000000003,5.099999999999994,8.07589999999999,0.6875,0.7767999999999997,1.2142999999999997,0.8102999999999998,0.6275999999999993,0.9085999999999999,0.8518999999999997,0.8426,1.287,0.5930999999999997,1.0671999999999997,1.5551999999999992,17.708,29.932000000000002,30.956000000000003,17.6212,38.3423,69.3173,18.658700000000003,46.637,101.6283,22.209600000000002,54.47880000000001,123.76920000000001
119.5,23.35,140.2317,-9.411000000000001,1.0364000000000146,1.4102000000000032,-1.40949999999998,1.6587000000000103,5.587700000000012,-4.788399999999996,-8.121699999999976,17.8887,-6.666499999999985,1.4524000000000115,38.8014,37.8541,59.912099999999995,62.4136,36.674800000000005,74.3325,128.4594,39.4464,88.6551,179.1965,44.8017,104.11330000000001,210.6902,-36.37580000000003,0.7164999999999964,50.815900000000056,-18.738399999999956,23.139499999999998,46.33100000000002,-11.264999999999986,-47.14319999999998,77.21569999999997,-40.351999999999975,26.839900000000057,212.0639,-1.083400000000001,-0.4396000000000022,-0.3697000000000017,-0.3119000000000014,-0.21070000000000277,0.15449999999999875,-0.3805000000000014,-0.6809000000000012,1.5620999999999974,-0.9238,-0.21690000000000254,3.2058999999999997,0.7892999999999972,0.7928999999999888,-0.4036000000000115,1.1568999999999932,-0.7017000000000024,-0.02410000000000423,0.1203999999999894,3.072199999999995,2.501899999999992,-1.2897000000000105,0.9378999999999991,4.286199999999994,1.7035999999999998,1.7518000000000002,2.1554,1.7155000000000005,1.5328,1.7637999999999998,1.7740999999999998,1.7204000000000006,2.2241,1.4775999999999998,1.9586000000000006,2.5310000000000006,17.43,29.984,30.903999999999996,17.290399999999998,38.2769,69.7981,18.945699999999995,46.521699999999996,101.93910000000001,21.9865,54.8462,123.84620000000001
119.5,23.4,139.9822,-10.940500000000014,-1.4028000000000134,-0.9827999999999975,-3.268100000000004,-0.887599999999992,3.5190999999999804,-6.664500000000004,-11.2457,16.36009999999999,-8.56450000000001,-1.1307000000000187,35.6541,37.454699999999995,59.596700000000006,62.440999999999995,36.00429999999999,73.8812,128.4043,38.812099999999994,88.686,179.2708,44.4351,103.97740000000002,210.86010000000002,-37.61009999999999,-0.983600000000024,47.81700000000001,-19.996399999999994,20.671500000000037,43.17139999999995,-13.526299999999992,-49.89880000000005,73.3143,-41.54870000000005,22.842199999999934,204.95489999999995,-1.1880999999999986,-0.5348000000000006,-0.4721000000000011,-0.38589999999999947,-0.34669999999999845,0.06319999999999837,-0.43769999999999953,-0.7631000000000014,1.4254999999999995,-1.0094999999999992,-0.35350000000000037,3.0532000000000004,0.7911000000000001,0.508899999999997,-0.44819999999999993,0.9258999999999986,-0.9448000000000008,-0.22930000000000916,0.294399999999996,2.8740999999999985,2.485199999999992,-1.4207000000000107,0.9120999999999952,4.048299999999998,1.7107,1.7179000000000002,2.0946,1.6947999999999999,1.5224000000000002,1.6828000000000003,1.7685000000000004,1.7443999999999997,2.1925999999999997,1.4931,1.9534000000000002,2.4966,17.95,30.648,31.548,17.6673,39.001900000000006,70.3385,19.447799999999997,46.849999999999994,101.7435,22.521200000000004,55.2308,124.24229999999999
119.5,23.5,143.6065,-20.413900000000012,-10.590300000000013,-11.630500000000012,-11.705399999999997,-12.083100000000002,-7.471900000000005,-15.675900000000013,-19.455700000000007,6.261200000000002,-16.163700000000006,-10.678200000000004,24.383699999999976,37.924499999999995,60.90650000000001,63.679100000000005,37.11240000000001,75.4413,130.2259,39.104,89.33010000000002,180.3735,45.6605,105.15280000000001,212.3547,-49.06650000000002,-8.284999999999968,38.384000000000015,-28.889800000000037,10.70640000000003,31.453399999999988,-23.982799999999997,-56.10270000000003,60.5684,-48.667100000000005,11.316900000000032,186.6511999999999,-1.7308000000000021,-0.9786000000000001,-0.939700000000002,-0.8568999999999996,-0.8117000000000019,-0.4490000000000016,-1.0036000000000023,-1.1911000000000023,0.9510000000000005,-1.439700000000002,-0.8470000000000013,2.5584999999999987,0.23930000000000007,0.10709999999998843,-0.5857000000000028,0.8241000000000014,-1.0103000000000009,-0.3983000000000061,0.1647999999999996,2.283299999999997,2.027799999999999,-1.8345000000000056,0.5723999999999876,3.70859999999999,1.6554000000000002,1.6893000000000002,2.0536000000000003,1.7034000000000002,1.5621,1.6585999999999999,1.7259000000000002,1.7537000000000003,2.1185,1.4654999999999996,1.8930999999999996,2.4207,19.262000000000004,31.804,32.611999999999995,18.8058,40.2885,71.7,20.1217,48.3391,103.1022,23.675,56.5038,125.43849999999999
119.5,23.6,133.4372,-18.45949999999999,-8.936499999999995,-10.055499999999995,-9.727699999999984,-11.58489999999999,-7.030199999999994,-15.036999999999992,-18.45219999999999,7.086600000000004,-14.279599999999988,-10.027899999999988,23.098900000000015,38.22160000000001,60.619600000000005,63.34490000000001,36.747,74.5124,129.0393,39.016400000000004,88.5642,179.4968,44.9739,104.3143,211.4527,-30.20659999999998,8.928099999999972,55.596700000000055,-10.405399999999986,27.20519999999999,44.8963,-9.178099999999972,-37.42059999999992,73.97550000000001,-29.575699999999983,27.281900000000064,192.76330000000007,-1.3889999999999993,-0.6256999999999984,-0.5864000000000011,-0.45090000000000074,-0.45250000000000057,-0.1255999999999986,-0.6673000000000009,-0.8229000000000006,1.1936,-1.064899999999998,-0.5739999999999981,2.7516999999999996,-0.6642999999999972,-0.26789999999999736,-1.623199999999997,-0.15349999999999397,-1.2827999999999946,-0.7637999999999892,-0.1314999999999884,2.6296000000000106,1.3278000000000105,-2.2964999999999947,0.3983000000000061,2.9361999999999995,1.2088999999999999,1.2535999999999996,1.5606999999999998,1.3327999999999998,1.1292999999999997,1.2413999999999996,1.3407,1.3037,1.7000000000000002,1.1707,1.5190000000000001,2.0447999999999995,18.244,30.852,32.036,18.0923,39.201899999999995,71.2019,19.584799999999998,47.1413,102.2435,22.7077,55.471199999999996,124.47500000000001
119.5,23.65,131.2561,-17.6554,-7.484800000000007,-9.529600000000002,-9.433999999999997,-10.621800000000007,-6.816299999999998,-14.036000000000001,-16.625200000000007,7.302599999999984,-13.787700000000001,-9.5244,22.758999999999986,38.66,60.788,63.9243,37.11150000000001,75.0038,129.5058,39.3674,88.94130000000001,179.9717,45.5385,105.0231,211.5346,-26.387899999999945,14.290900000000079,58.238000000000056,-6.826900000000023,30.861600000000067,47.3134,-4.188300000000027,-31.8048,77.59840000000008,-25.556500000000028,30.677900000000022,193.43960000000004,-1.1781000000000006,-0.38750000000000284,-0.36710000000000065,-0.21649999999999991,-0.2010000000000005,0.07119999999999749,-0.3917999999999999,-0.5707000000000022,1.4074999999999989,-0.8210000000000015,-0.36570000000000036,2.933699999999998,-0.20539999999999736,0.5731999999999999,-0.9142999999999972,0.5879000000000048,-0.9051999999999936,-0.18099999999999739,-0.01670000000000016,3.0648000000000053,1.7759000000000071,-1.6293000000000006,0.2914000000000101,3.398300000000006,1.3518,1.3875000000000002,1.6964000000000006,1.4897,1.2397,1.3879000000000001,1.4556000000000004,1.4463,1.8018999999999998,1.3155000000000001,1.6292999999999997,2.1690000000000005,18.294,31.378,32.344,18.475,39.4115,71.2788,19.6717,47.4391,101.9565,22.942300000000003,55.8365,124.69229999999999
119.55,23.35,139.2331,-13.570600000000013,-2.6670000000000016,-3.1158000000000072,-4.836000000000013,-2.849400000000003,1.069500000000005,-10.08110000000002,-11.368500000000012,13.37899999999999,-9.163100000000014,-2.6092000000000155,33.7936,38.179899999999996,59.8239,62.723800000000004,37.071400000000004,74.50210000000001,128.7194,39.614399999999996,88.7927,179.334,45.4137,104.256,210.76940000000002,-42.67240000000004,-6.4985000000000355,41.92269999999996,-23.582599999999957,15.742399999999975,38.94200000000001,-19.954200000000014,-51.742200000000025,70.80330000000004,-44.13609999999994,19.638900000000035,203.88739999999996,-1.2711000000000006,-0.5837000000000003,-0.5542999999999978,-0.4541000000000004,-0.40520000000000067,-0.00689999999999813,-0.605599999999999,-0.7552999999999983,1.381499999999999,-1.0421999999999976,-0.33429999999999893,3.032,1.2607,1.7356999999999942,0.35540000000000305,1.893100000000004,0.13970000000000482,0.5879000000000048,0.6037000000000035,4.001900000000006,3.0759000000000043,-0.47759999999999536,1.9206999999999965,4.996600000000001,1.3518,1.3500000000000005,1.7553999999999998,1.3414000000000001,1.1259000000000006,1.3052000000000001,1.3963,1.3500000000000005,1.8519000000000005,1.1431000000000004,1.5552000000000001,2.0983,17.410000000000004,29.97,30.601999999999997,17.5019,38.5365,69.70190000000001,18.810899999999997,46.4261,101.67830000000001,22.165399999999998,54.711499999999994,123.9211
119.55,23.55,151.4465,-23.51909999999998,-12.6464,-12.83789999999999,-13.022699999999986,-17.98509999999999,-10.553399999999982,-21.10409999999999,-23.330399999999997,5.497500000000002,-18.256999999999977,-15.752899999999983,24.0591,38.2778,61.031800000000004,63.5184,36.767700000000005,75.2389,129.8658,39.3288,89.36359999999999,180.0984,45.4773,105.0908,212.0139,-54.60750000000007,-11.32510000000002,38.445299999999975,-31.759700000000066,4.07650000000001,25.85680000000002,-31.359800000000064,-62.131500000000074,58.31089999999995,-52.382799999999975,5.645899999999983,187.65250000000003,-1.5112000000000023,-0.7722000000000016,-0.6934000000000005,-0.5937000000000019,-0.6351000000000013,-0.2527000000000008,-0.8494000000000028,-0.9964000000000013,1.202099999999998,-1.1692,-0.7065000000000019,2.7426999999999992,1.7785999999999973,2.2804,1.4695999999999998,2.2378999999999962,0.8292999999999893,1.4258999999999986,2.281499999999994,4.259299999999996,3.8092999999999932,0.29999999999999716,2.0223999999999904,5.536199999999994,1.7286000000000001,1.7286000000000001,2.1445999999999996,1.7241,1.5344999999999995,1.6689999999999996,1.8129999999999997,1.8037,2.2074,1.5413999999999994,1.9500000000000002,2.4947999999999997,18.281999999999996,30.630000000000003,31.740000000000002,18.053800000000003,39.0673,70.9212,18.991300000000003,46.8196,101.6152,22.6712,55.251900000000006,123.70769999999999
119.55,23.65,133.0819,-17.977999999999994,-8.365799999999993,-10.26979999999999,-9.450599999999994,-12.508599999999987,-8.060799999999986,-15.856499999999997,-18.533599999999993,6.2450000000000045,-14.467699999999994,-11.152199999999993,22.326700000000017,38.101299999999995,60.901300000000006,63.3313,36.911100000000005,74.8611,129.1418,39.148799999999994,88.8423,179.1249,45.159099999999995,104.74180000000001,211.3361,-27.08960000000002,12.759599999999978,57.280599999999936,-6.974100000000021,29.148199999999974,45.94229999999993,-6.0873000000000275,-33.8125,77.92999999999995,-25.877200000000016,28.461399999999912,193.63509999999997,-1.1723999999999997,-0.4278000000000013,-0.371100000000002,-0.21199999999999974,-0.2605000000000004,0.0478999999999985,-0.4832000000000001,-0.6237999999999992,1.3933,-0.8385999999999996,-0.40970000000000084,2.9406999999999996,-0.1875,0.5250000000000057,-0.758899999999997,0.5948000000000064,-0.5,-0.041399999999995885,0.25370000000000914,3.1500000000000057,1.977800000000002,-1.5655000000000001,0.6138000000000119,3.893100000000004,1.2321,1.2893,1.6018,1.3689999999999998,1.1517,1.2671999999999999,1.3962999999999992,1.3295999999999992,1.7369999999999992,1.2241,1.5499999999999998,2.0793,17.596000000000004,30.542,31.875999999999998,17.903799999999997,38.830799999999996,70.69810000000001,18.939099999999996,46.913,101.40870000000001,22.480800000000002,55.246199999999995,123.6423
119.6,23.25,136.6252,-15.494700000000009,-4.1761000000000195,-2.444000000000017,-7.597399999999993,-4.4594000000000165,-1.0769999999999982,-9.563700000000011,-9.484100000000012,12.280599999999993,-10.12830000000001,-1.8582000000000107,34.433099999999996,37.594300000000004,59.0543,61.9774,36.733999999999995,74.3494,127.6628,39.24589999999999,88.3372,178.3785,44.5667,103.4282,209.9186,-26.47059999999999,10.358699999999999,63.22929999999997,-9.842300000000023,35.25189999999998,57.914499999999975,-6.510199999999941,-33.90110000000004,92.76139999999998,-27.4135,43.05420000000004,236.90710000000013,-1.2955000000000005,-0.694700000000001,-0.4649000000000001,-0.6190999999999995,-0.4035000000000011,-0.026599999999998403,-0.6927999999999983,-0.7484999999999999,1.3979,-1.0177000000000014,-0.2623999999999995,3.0290999999999997,1.6214000000000084,2.237499999999997,0.7946000000000026,2.2948000000000093,0.9483000000000033,1.7103000000000037,0.5370000000000061,4.803700000000006,3.216700000000003,0.734499999999997,2.439700000000002,5.443100000000001,1.0053999999999998,1.1482,1.5179,1.0724,0.9033999999999995,1.1120999999999999,1.1129999999999995,1.0629999999999997,1.6258999999999997,0.8465999999999996,1.319,1.8966000000000003,17.132,29.622000000000003,30.316,17.326900000000002,37.5865,68.7019,18.4087,45.9413,100.5913,21.8154,54.0231,122.6981
