Model,FeatureSet,Train_R2,Test_R2,RMSE,MAE,Uses_spatial_lag,Possible_leakage,Note
OLS,NO_SPATIAL,0.6865893794594158,0.498125717698908,18.437594695045764,14.142843981802129,False,False,4-fold spatial block CV
Random Forest,NO_SPATIAL,0.9649687163070388,0.6493940909827143,15.854389573750204,12.373673230489365,False,False,4-fold spatial block CV
XGBoost,NO_SPATIAL,0.9765672984410178,0.6707661780840755,15.315065776466476,11.714392411342232,False,False,4-fold spatial block CV
OLS,PREDICTOR_SPATIAL_LAG,0.7028305151028136,0.4983560091618574,18.396634004029856,14.140059994968526,True,False,4-fold spatial block CV
Random Forest,PREDICTOR_SPATIAL_LAG,0.9646873949860384,0.6069393977258967,16.68604395935124,13.171931666917608,True,False,4-fold spatial block CV
XGBoost,PREDICTOR_SPATIAL_LAG,0.9792529589407556,0.6823586646518921,15.057282520516235,11.670124077760908,True,False,4-fold spatial block CV
OLS,TARGET_SPATIAL_LAG_RISKY,0.9596781908439592,0.9488591645708356,5.831928813212377,4.385122730407962,True,True,4-fold spatial block CV
Random Forest,TARGET_SPATIAL_LAG_RISKY,0.9831859188836708,0.8790064453325573,9.231003357519707,6.788652608114022,True,True,4-fold spatial block CV
XGBoost,TARGET_SPATIAL_LAG_RISKY,0.9896999848008682,0.9294265425866371,7.013493311530739,5.087050994375728,True,True,4-fold spatial block CV
