Feature,Importance
sdii_change_lag,0.3603265702646163
sdii_change,0.2913872993963297
prcptot_change_lag,0.10478644419453924
prcptot_change,0.08217105541105611
lat_scaled,0.04017433284426929
lon_scaled,0.02236957922030246
cdd_change_lag,0.02182280530660375
tx90p_change_lag,0.017790502525458895
rx1day_base,0.017586852073979795
cwd_change_lag,0.011658522685875703
cdd_change,0.007945852616874286
tx90p_change,0.006860931165109441
hwdi_change_lag,0.00607827884683283
cwd_change,0.004860652305700962
hwdi_change,0.00418032114245128
